identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1782639667	m	2021	Der Beschäftigungseffekt gesetzlicher Mindestlöhne : eine Frage des Paradigmas? : worin unterscheiden sich die modelltheoretischen Auswirkungen auf die Beschäftigungsmenge bei Einführung eines gesetzlichen Mindestlohnes im neoklassischen und post-Keynesianischen Paradigma?				Schlegel, Pat Akim				Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma-48-schlegel.pdf			
1782066799	m	2021	Retreat or entrenchment? : drug policies in the Nordic Countries at a crossroads			9789176351604|9789176351611|9789176351628		Tham, Henrik	10.16993/bbo		Stockholm, Sweden : Stockholm University Press	eng			Stockholm studies in social policy and welfare	(DE-627)1735209643			https://www.stockholmuniversitypress.se/site/books/10.16993/bbo/download/8259/			
1775766268	m	2021	"Financialization and state-market relations in the context of European financial integration : an international political economy perspective on policy convergence and ""financialization of the state"""				Zaspel, Frieder				Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	eng			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma-47-frieder-zaspel-policy-convergence-and-financialization-of-the-state.pdf			
177576611X	m	2021	Die Physiokratie und Marx : die marxsche Kritik der Physiokratie und ihr Einfluss auf die marxsche Ökonomik				Piening, Bernd				Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma-47-piening-marx-und-die-physiokratie.pdf			
1775766055	m	2021	ADHS als soziales Krankheitsbild? : eine kritische Betrachtungsweise der Medikalisierung von abweichendem sozialem Verhalten in modernen westlichen Gesellschaften				Hirth, Nicole				Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma-45-hirth-adhs-als-soziales-krankheitsbild.pdf			
1775765997	m	2020	Staaten, Ratingagenturen und institutionelle Investoren aus der Perspektive einer relationalen Soziologie nach Pierre Bourdieu : eine soziologische Analyse der Akteurskonfiguration auf Staatsanleihenmärkten				Zaspel, Frieder				Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma-44-zaspel-soziologische-analyse-der-akteurskonfiguration-auf-staatsanleihenmaerkten.pdf			
1775765679	m	2020	Transformation der Wirtschaftswissenschaften : kann der Paradigmatische Pluralismus transformativ-normativ wirken?				Preuß, David	Roll, Felix|Salim, Ashkan|Schumann, Franca			Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma-43-paradigmatischer-pluralismus-2020.pdf			
1775765431	m	2020	Zur ökonomischen Pluralismus-Debatte in Deutschland : unterschiedliche Wissenschaftsverständnisse im Vergleich				Stademann, Inga	Cremer, Julia C.			Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/exma42-stademann-und-cremer.pdf			
1775765377	m	2020	Eine Frage der Zugehörigkeit - können Sraffianer:innen zum Postkeynesianismus gezählt werden?				Middelanis, Martin	Faininger, Rudolf			Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/faininger-und-middelanis.pdf			
1775765229	m	2020	"Erziehung zur Unmündigkeit: eine kritische und interdisziplinäre Analyse des ""nudging"" in der angewandten Verhaltensökonomie"				Henze, Justus				Hamburg : Zentrum für Ökonomische und Soziologische Studien, Universität Hamburg	ger			ExMA-Papers	(DE-627)1735209643			https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/heise/zoess/publikationen/exma-papers/henze-nudging-in-der-verhaltensoekonomie.pdf			
