identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1769385754	b	2021	Thin capitalisation, effective tax rate and performance of multinational companies in Nigeria				Otuya, Sunday	Omoye, A. S.				eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%205(1)%2045-59%20PDF.pdf			
1769377964	b	2021	Board gender diversity and managerial efficiency				Imuetinyan, Donald	Dibie, Raphael Ajirioghene				eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%205(1)%2015-29%20PDF.pdf			
1769376631	b	2021	Direct tax and foreign direct investment				Oboh, Timothy					eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%205(1)%201-14%20PDF.pdf			
1768387591	c	2021	Foreign trade statistics of the Philippines	2020								eng						(DE-627)1745740856|(DE-600)3051748-5	https://psa.gov.ph/sites/default/files/2020%20FTS%20Publication_signed-compressed.pdf			
1768315639	c	2021	Statistická ročenka regiónov Slovenska	2020		9788081218224						slo|eng						(DE-627)527575992|(DE-576)263474445|(DE-600)2276775-7	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=e698e51a-b805-43b7-8376-bfe2bc03ec5d			
1768036640	c	2021	Fakta om utdanning ...	2021		9788258712418						nor						(DE-627)1691032085|(DE-600)3009714-9	https://www.ssb.no/utdanning/artikler-og-publikasjoner/_attachment/442056?_ts=176cc50e7d8			
1768035903	c	2021	Annual report of the Bank of Lithuania	2020								eng						(DE-627)486185427|(DE-576)281276064|(DE-600)2187265-X	https://www.lb.lt/en/media/force_download/?url=/uploads/publications/docs/31885_435be1d1ce2a45d2443ccf24d490b0d2.pdf			
1767995415	c	2021	Finanzbericht	2020								ger						(DE-627)1672260612|(DE-600)2982614-7	https://www.kfw.de/PDF/Download-Center/Finanzpublikationen/PDF-Dokumente-Berichte-etc/3_Finanzberichte/Finanzbericht_2020.pdf			
1767995121	c	2021	Jahresabschluss und Lagebericht	2020								ger						(DE-627)1672260027|(DE-600)2982613-5	https://www.kfw.de/PDF/Download-Center/Finanzpublikationen/PDF-Dokumente-Berichte-etc/2_Jahresabschluss-und-Lageberichte/Jahresabschluss-und-Lagebericht_HGB_2020.pdf			
176799429X	c	2021	Regional statistics Malta	2021 edition		9789995729912						eng						(DE-627)1014309263|(DE-576)499949536|(DE-600)2920431-8	https://nso.gov.mt/en/nso/Media/Salient-Points-of-Publications/Documents/2021/Regional%202021/Regional%20Statistics%202021_full%20publication.pdf			
1767993587	c	2021	Integrierte Statistik der Lohn- und Einkommensteuer	2018		9783903264854						ger						(DE-627)659218887|(DE-576)344665437|(DE-600)2608959-2	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126200			
1767992815	c	2021	Die deutsche Lebensversicherung in Zahlen	2021								ger						(DE-627)550217177|(DE-576)281359296|(DE-600)2396646-4	https://www.gdv.de/resource/blob/68738/fc1747f89d09be4b28dd03f831aa6f2e/pdf-data.pdf			
1767992076	c	2021	Produktivitet	2021		9788793948020						dan						(DE-627)1666020893|(DE-600)2972847-2	https://dors.dk/files/media/rapporter/2021/p21/p21_endelig/produktivitet_2021_web.pdf			
176789693X	c	2021	KfW-Gründungsmonitor	2021 ; Gründungstätigkeit 2020 mit Licht und Schatten : Corona-Krise bringt Tiefpunkt im Vollerwerb, birgt für viele aber auch Chancen								ger						(DE-627)500021848|(DE-576)254902421|(DE-600)2203000-1	https://www.kfw.de/PDF/Download-Center/Konzernthemen/Research/PDF-Dokumente-Gr%C3%BCndungsmonitor/KfW-Gr%C3%BCndungsmonitor-2021.pdf|https://www.kfw.de/PDF/Download-Center/Konzernthemen/Research/PDF-Dokumente-Gr%C3%BCndungsmonitor/KfW-Gr%C3%BCndungsmonitor-2021-Tabellen-und-Methodenband.pdf			
1767692404	c	2021	Bauwirtschaft im Zahlenbild	2021								ger						(DE-627)1736132989|(DE-600)3042544-X	https://www.bauindustrie.de/fileadmin/bauindustrie.de/Zahlen_Fakten/Bauwirtschaft-im-Zahlenbild/Bauwirtschaft-im-Zahlenbild_final_Inhalt_verlinkt.pdf			
1767690916	c	2021	Flyktninger i og utenfor arbeidsmarkedet	2019		9788258712692					[Oslo] : Statistisk sentralbyrå	nor			Rapporter / Statistisk Sentralbyrå	(DE-627)610205943|(DE-576)311626785|(DE-600)2517959-7		(DE-627)1693627221|(DE-600)3013739-1	https://www.ssb.no/arbeid-og-lonn/artikler-og-publikasjoner/_attachment/444135?_ts=17738ef5528			
1767687680	c	2021	Økonomisk utsyn over året ...	2020								nor						(DE-627)1693267462|(DE-600)3012321-5	https://www.ssb.no/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/okonomisk-utsyn-over-aret-2020			
1767642350	c	2021	Deutschland-Index der Digitalisierung ...	Mai 2021		9783948582074						ger						(DE-627)1686929196|(DE-600)3004781-X	https://www.oeffentliche-it.de/documents/10181/14412/Deutschland-Index+der+Digitalisierung+2021			
1767641508	c	2021	Geschäftsbericht ...	2020/2021								ger						(DE-627)717313514|(DE-576)366684817|(DE-600)2666062-3	http://www.ivw.de/sites/default/files/ivwGB_2020-2021.pdf			
1767629567	c	2021	Rüstungsexportbericht ... der GKKE	2020		9783940137968					Berlin	ger			Schriftenreihe der Gemeinsamen Konferenz Kirche und Entwicklung (GKKE)	(DE-627)636639703|(DE-576)332351734|(DE-600)2577246-6		(DE-627)505950693|(DE-576)28129643X|(DE-600)2216530-7	https://www.gkke.org/wp-content/uploads/2020/12/GKKE-69-REB.pdf			
1767628862	c	2021	Daten & Fakten zum Online-Reisemarkt ...	2021								ger						(DE-627)101783069X|(DE-576)501749284|(DE-600)2925716-5	https://v-i-r.de/df/2021/final_vir-df-2021.pdf			
1767622376	c	2021	Wohnen	2020		9783903264830						ger						(DE-627)1002288517|(DE-576)494882077|(DE-600)2909928-6	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126115			
1767536461	c	2021	Zamestnanci a mzdové prostriedky v hospodárstve SR, krajoch a okresoch	2020		9788081218583						slo						(DE-627)630362122|(DE-576)325342318|(DE-600)2560525-2	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=ad5b4369-4807-4bf9-865f-ed130c0255c3			
1767535112	c	2021	Financial stability review	2021								eng						(DE-627)547664532|(DE-576)281354901|(DE-600)2392177-8	https://www.lb.lt/en/media/force_download/?url=/uploads/publications/docs/31764_ff9a0af6d878ef7d75b7f010a9c798de.pdf			
1767534957	c	2021	Definitívne údaje o úrode poľnohospodárskych plodín a zeleniny v SR za rok ...	2020		9788081218453						slo						(DE-627)858987708|(DE-576)469493003|(DE-600)2855355-X	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=c16ed459-04f6-4514-b01e-213385776dce			
1767534337	c	2021	Bildung in Zahlen / Tabellenband	2019/20		9783903264816						ger						(DE-627)593138538|(DE-576)303816481|(DE-600)2482047-7	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126038			
1767533756	c	2021	Bildung in Zahlen / Schlüsselindikatoren und Analysen	2019/20		9783903264786						ger						(DE-627)593138554|(DE-576)30381649X|(DE-600)2482049-0	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126036			
1767521464	c	2021	Statistik der Körperschaftsteuer	2016		9783903264878						ger						(DE-627)737231513|(DE-576)379730499|(DE-600)2705296-5	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126269			
1767520786	c	2021	Kulturstatistik	2019		9783903264922												(DE-627)659219794|(DE-576)344665534|(DE-600)2609048-X	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126559			
1767517068	c	2021	Input-Output-Tabelle	2017		9783903264700						ger						(DE-627)635138875|(DE-576)330122894|(DE-600)2573026-5	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125240			
1767512821	c	2021	EU SILC / Indikátory chudoby a sociálneho vylúčenia	2020		9788081218286						slo|eng						(DE-627)664262171|(DE-576)32494960X|(DE-600)2617299-9	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=39dc04da-f158-4e4b-be98-0fea36de4fd0			
1767509081	c	2021	Crowdfunding monitoring Schweiz ...	2021		9783906877815						ger						(DE-627)861384784|(DE-576)470682558|(DE-600)2858959-2	https://blog.hslu.ch/retailbanking/files/2021/06/Crowdfunding-Monitor-Schweiz-2021_D.pdf			
1767507631	c	2021	Norsk mediebarometer	2020		9788258713231					Oslo : Statistisk sentralbyrå	nor		Rettet	Statistiske analyser / Statistisk Sentralbyrå	(DE-627)825710316|(DE-576)433023201|(DE-600)2821762-7		(DE-627)1067793976|(DE-576)520291123|(DE-600)2966086-5	https://www.ssb.no/kultur-og-fritid/artikler-og-publikasjoner/_attachment/452390?_ts=17a9f7fcdd8			
1767483481	c	2021	Trade and assistance review	2019/20								eng						(DE-627)389868191|(DE-576)28125284X|(DE-600)2149403-4	https://www.pc.gov.au/research/ongoing/trade-assistance/2019-20/trade-assistance-review-2019-20.pdf			
1767444559	c	2021	Transport statistics	2020, reference year 2019		9789995729899						eng						(DE-627)679781730|(DE-576)354898671|(DE-600)2641397-8	https://nso.gov.mt/en/nso/Media/Salient-Points-of-Publications/Documents/2021/Transport%20Statistics%202020/Transport_Statistics-2020.pdf			
1767428200	c	2021	Activitatea agricolă a micilor producători agricoli în Republica Moldova în ...	2020								rum|rus						(DE-627)797838201|(DE-576)415034574|(DE-600)2786426-1	https://statistica.gov.md/public/files/publicatii_electronice/Activitatea_agricola/Activitatea_agricola_editia_2021.pdf			
1767404859	c	2021	Abgestimmte Erwerbsstatistik und Arbeitsstättenzählung ...	2019								ger						(DE-627)1000760960|(DE-576)494521813|(DE-600)2908752-1	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=126293			
1767269943	c	2021	Súpis hospodárskych zvierat k 31.12....	2021		9788081218439						slo						(DE-627)858980460|(DE-576)469484926|(DE-600)2855325-1	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=4231f85f-c21a-411f-83b3-211c6ae79ff3			
1767247877	c	2021	My v číslach: zahraničné stʹahovanie	2020		9788081218514						ger						(DE-627)882380079|(DE-576)485685795|(DE-600)2888568-5	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=c4b963a4-45be-4e96-8e2b-df40b3ce5f4b			
1767246773	c	2021	The population change in the SR in ...	2020								eng						(DE-627)856751898|(DE-576)468021442|(DE-600)2852563-2	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=4a1b9437-a7c6-4762-b6bf-bfabe0eeba7f			
1767243510	c	2021	Štruktura y miezd v SR v roku ...	2020		9788081218576						eng|slo						(DE-627)481904271|(DE-576)116598964|(DE-600)2180312-2	https://slovak.statistics.sk/PortalTraffic/fileServlet?Dokument=cb819a4c-78d3-4129-aaba-bc336ad28d07			
1767078226	c	2021	IKT-Einsatz in Unternehmen	2020		9783903264762						ger						(DE-627)1002290511|(DE-576)494883502|(DE-600)2909941-9	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125750			
1767077416	c	2021	Statistik der Einkommensteuer	2018		9783903264731						ger						(DE-627)1002283302|(DE-576)49487676X|(DE-600)2909910-9	http://www.statistik-austria.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125353			
1766100996	m	2021	Economic and social development : 71st International Scientific Conference on Economic and Social Development : book of proceedings : 06 August, 2021					Gregurec, Iva|Dukic, Darko|Nedzhad, Abdelhamid			Varazdin, Croatia : Varazdin Development and Entrepreneurship Agency	eng				(DE-627)1730492479			https://www.esd-conference.com/upload/book_of_proceedings/Book_of_Proceedings_esdAugust2021_Online.pdf			
1765994187	c	2021	Tourismus in Österreich	2020 (2021)		9783903264793						ger						(DE-627)828391386|(DE-576)434270962|(DE-600)2825949-X	http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125818			
176595780X	c	2021	Statistik der Umsatzsteuer	2018 (2021)		9783903264779						ger						(DE-627)523571305|(DE-576)281331642|(DE-600)2267079-8	https://www.statistik.at/wcm/idc/idcplg?IdcService=GET_NATIVE_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125781			
1765666929	b	2021	Foreign capital inflows and manufacturing sector growth in Nigeria				Sani, Idris Ahmed	Samuel, Ajengbe Abidemi|Ome, Wada Emmanuel	10.32890/mmj2021.25.10			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/235-260.pdf			
1765664268	b	2021	Determining the financial performance of Malaysian green technology companies using Tobin's Q				Badri Shah, Noor Sharida	Muhamad Yusuf, Noor Hafizha|Shekh Zain, Rozihanim|Rosli, Sofia Alia|Azman, Mohd Eddi Akmar	10.32890/mmj2021.25.9			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/213-234.pdf			
1765658608	b	2021	Profitability performance analysis : the evidence from private telecommunication firms in Malaysia				Abdul Manaf, Suhaily Maizan	Salleh, Wan Anisabanum|Mohd Yusoff, Zetty Zahureen|Bidin, Nor Fazirah	10.32890/mmj2021.25.8			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/191-212.pdf			
1765657237	b	2021	The effect of fraud on profitability of listed deposit money banks in Nigeria				Olabamiji, Abass Wahab	Suleiman, Salami	10.32890/mmj2021.25.7			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/169-190.pdf			
176565551X	b	2021	Assessing the predictability of cryptocurrency prices				Abdul-Rahim, Ruzita	Ling, Pick Soon|Mohd Khalid, Muhammad Airil Syafiq	10.32890/mmj2021.25.6			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/143-168.pdf			
1765653029	b	2021	Quality of work life and lifelong learning among working adults in Malaysia : the mediating role of employee engagement				Ho, Bradley C. Y.	Norizah Mohd Mustamil|Sharmila Jayasingam	10.32890/mmj2021.25.5			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/99-142.pdf			
1765651166	b	2021	Corporate governance and stock market reaction to seasoned equity offering announcement by firms in Nigeria				Bello, Mohammed Aminu	Kurfi, Aminu Kado|Tijjani, Bashir	10.32890/mmj2021.25.4			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/73-98.pdf			
1765650437	b	2021	Competition and ratchet hypothesis : how safe are manufacturing companies in Sub-Saharan Africa?				Tonade, Abiola M. A.	Olowofela, Olusola Enitan|Sanyaolu, Wasiu Abiodun	10.32890/mmj2021.25.3			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/49-72.pdf			
1765648289	b	2021	The effect of nominal exchange rate depreciation on trade in eleven developing countries				Lubis, Muhammad Riyadh Ghozali	Abdul Karim, Noor Al-Huda	10.32890/mmj2021.25.2			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/25-48.pdf			
1765646332	b	2021	Contructing an competitiveness index for states in Malaysia : a panel data analysis				Lim, Chee Ann	Ku' Azam Tuan Lonik|Adam, Radziah	10.32890/mmj2021.25.1			eng					Malaysian management journal	(DE-627)818754346|(DE-600)2812129-6|(DE-576)427164990	http://mmj.uum.edu.my/images/vol25july2021/1-24.pdf			
1765466024	b	2021	Advancing strategic management through sustainable finance				Păun, Tatiana	Pînzaru, Florina Magdalena	10.2478/mdke-2021-00019			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/418/367			
1765465982	b	2021	Over-the-Top Television Services and Changes in Consumer Viewing Patterns in South Africa				Tengeh, Robertson Khan	Udoakpan, Nokuphiwa	10.2478/mdke-2021-0018			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/402/366			
1765465931	b	2021	Financial Development and Private Sector Investment in the Post-Financial Liberalization Era in Tanzania				Lwesya, Francis	Ismail, Ismail J.	10.2478/mdke-2021-0017			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/415/362			
1765465311	b	2021	Effect of corporate governance structure and financial reporting quality of quoted pharmaceutical companies in Nigeria				Amah, Kalu Ogbonnaya	Ekwe, Michael Chidiebere	10.2478/mdke-2021-0016			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/413/360			
1765464641	b	2021	The impact of the COVID-19 pandemic on the banking sector				Marcu, Mihaela Roxana		10.2478/mdke-2021-0013			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/416/365			
1765464439	b	2021	Toward preventive management of risks theory : foundation of process structuring the theory				Maamir, Safa	Derghoum, Mahfoud	10.2478/mdke-2021-0014			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/395/359			
176546420X	b	2021	Social support and work-family balance of manufacturing companies employee with self-efficacy as a mediator				Akanni, Abimbola A.	Ajila, Chris O.	10.2478/mdke-2021-0013			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/414/361			
176546370X	b	2021	Strategic management initiatives that promote organizational performance				Tolici, Daniela		10.2478/mdke-2021-0012			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/419/364			
1765463408	b	2021	Technological determinism vs. social shaping of technology : the influence of activity trackers on users attitudes				Tic̆au, Iulia Ruxandra	Hadad, Shahrazad	10.2478/mdke-2021-0011			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/417/363			
1765462142	b	2021	The impact of the mobile money on peoples use of financial services in Sub-Sahara Africa				Nyimbiri, Bydon Austin		10.2478/mdke-2021-0010			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/406/354			
176546157X	b	2021	Business dynamics in recovery times : a comparative perspective on manufacturing firms performance in the European Union				Horobet, Alexandra	Vrinceanu, Georgiana|Popescu, Consuela|Belascu, Lucian	10.2478/mdke-2021-0009			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/404/352			
1765459044	b	2021	Can organizational spirituality contribute to knowledge management?				Rocha, Raysa Geaquinto	Pinheiro, Paulo Gonçalves	10.2478/mdke-2021-0008			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/409/357			
176545798X	b	2021	The emergence of knowmads from the knowledge workers				Iliescu, Andra Nicoleta		10.2478/mdke-2021-0007			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/405/353			
176545641X	b	2021	The impact of cultural intelligence on multinational leadership : a semantic review				Paiuc, Dan		10.2478/mdke-2021-0006			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/408/356			
1765454212	b	2021	Development system of hierarchical indicators for analyzing and measuring the level of growth of information and knowledge economy$VAlovsat G. Aliyev				Aliyev, Alovsat Garaja		10.2478/mdke-2021-0005			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/403/351			
1765451906	b	2021	Mexican researchers contributions to the world scientific publications				López Leyva, Santos		10.2478/mdke-2021-0004			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/369/349			
1765446902	b	2021	Income inequality and economic growth in Algeria : empirical study during the period 1980-2015				Ameur Ameur, Assia	Seffih, Sadek	10.2478/mdke-2021-0003			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/384/350			
1765445620	b	2021	The tripartite dynamic relationship between poverty, unemployment and construction sector : empirical evidence from Nigeria				Okoye, Peter Uchenna	Ngwu, Chukwuemeka|Ohaedeghasi, Christian Ifeanyi	10.2478/mdke-2021-0002			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/407/355			
1765435188	b	2021	The econometric approach of the impact of public investment in the road-infrastructure in the economic growth of Kosovo				Ziberi, Besime Fekri	Miftari, Florije|Omaj, Leonita	10.2478/mdke-2021-0001			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/410/358			
1765379938	m	2021	Sosial ulikhet i bruk av helsetjenester - 2 : udekket behov for helsetjenester og forebyggende helseatferd			9788258713514	Lunde, Elin Skretting	Ramm, Jorun			[Oslo] : Statistisk sentralbyrå	nor			Rapporter / Statistisk sentralbyrå	(DE-627)1740232453			https://www.ssb.no/helse/helsetjenester/artikler-og-publikasjoner/sosial-ulikhet-i-bruk-av-helsetjenester--2/_/attachment/inline/000f4984-ed11-42d3-b5cb-ba9f3ce43847:29074da6c77dc56a92e1780ded59ccb2a973ff19/RAPP2021-23_web.pdf			
1765340640	b	2021	Safe-haven assets for U.S. equities during the 2020 COVID-19 bear market				Baek, Chung	Jackman, Thomas	10.17811/ebl.10.3.2021.331-335			eng					Economics and Business Letters	(DE-627)739898418|(DE-600)2708683-5|(DE-576)380469812	https://reunido.uniovi.es/index.php/EBL/article/download/15335/14012/45002			
