identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1775532151	m	2021	Accounting challenges for sustainability and innovations			9788382110555		Remlein, Marzena	10.18559/978-83-8211-055-5		Poznań, Poland : Poznań University of Economics and Business Press	eng				(DE-627)1735209643			https://wydawnictwo.ue.poznan.pl/books/978-83-8211-055-5/978-83-8211-055-5.pdf			
177516411X	b	2021	Supervivencia y adaptación de la militancia en comités barriales en la Unión Cívica Radical de la Ciudad Autónoma de Buenos Aires				Grandinetti, Juan R.					spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/136/36/			
1775163342	b	2021	Un imbroglio monetario : la moneda del interior argentino en tiempos de heterogeneidad estructural, 1826-1883				Djenderedjian, Julio	Martirén, Juan Luis|Moyano, Daniel				spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/135/35/			
1775162338	b	2021	Análisis multicausal de los determinantes individuales de la participación en manifestaciones en Argentina				Pereyra, Sebastián	Armesto, Melchor				spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/134/34/			
1775161528	b	2021	El péndulo en números : un análisis cuantitativo de los vaivenes de la política económica en Argentina entre 1955 y 2018				Arza, Valeria	Brau, Wendy				spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/133/33/			
1774698757	m	2021	Angola economic report : 2019-2020								Windhoek, Namibia : Konrad-Adenauer-Stiftung e.V., Foundation Office Namibia and Angola	eng				(DE-627)1735209643			https://www.kas.de/documents/279052/279101/Angola+Economic+Report+2019+-+2020.pdf/b0933a69-2a38-ee1c-78f9-f2e712f7ca92?version=1.0&t=1634133266458			
1017724458	m	2015	Here comes the omnichain				Gordón, Carlos	Cavallero, Pablo|Ferreiro, Teresa			Lausanne : IMD, International Institute for Management Development	eng			Working paper / IMD	(DE-627)1735209643			https://www.imd.org/globalassets/publications/working-papers/docs/2015-4-here-comes-the-omnichain-ss-15-01-16.pdf			
1017723680	m	2015	How can traditional businesses react to the digital transformation tsunami? : four steps to success				Gordón, Carlos	Ferreiro, Teresa			Lausanne : IMD, International Institute for Management Development	eng			Working paper / IMD	(DE-627)1735209643			https://www.imd.org/globalassets/publications/working-papers/docs/2015-3-digital-transformation-using-big-data-ss-15-01-16.pdf			
1017722552	m	2015	"Corporate digital learning: how to get it ""right"""				Wildi-Yune, Jeanny	Cordero, Carlos			Lausanne : IMD, International Institute for Management Development	eng			Working paper / IMD	(DE-627)1735209643			https://www.imd.org/globalassets/publications/working-papers/docs/working-paper_corporate-digital-learning-final--05-05-15.pdf			
1017721106	m	2014	The WTO and the business community				Braga, Carlos Alberto Primo	Kondis, Athanasios			Lausanne : IMD, International Institute for Management Development	eng			Working paper / IMD. The Evian Group@IMD working paper series	(DE-627)1735209643			https://www.imd.org/globalassets/publications/working-papers/docs/2014-1-wto-and-the-business-community_review-revised-27-11-14-lm-with-sakis-name.pdf			
1017720630	m	2014	The WTO and agriculture: opportunities and challenges for Brazil				Braga, Carlos Alberto Primo				Lausanne : IMD, International Institute for Management Development	eng			Working paper / IMD. The Evian Group@IMD working paper series	(DE-627)1735209643			https://www.imd.org/globalassets/publications/working-papers/docs/2014-3-multilateral-trade-negotiations-in-agriculture-imd-final-lm-01-11-14.pdf			
1017719950	m	2014	Brazil and China : complementarity and competition				Braga, Carlos Alberto Primo	Lehmann, Jean-Pierre			Lausanne : IMD, International Institute for Management Development	eng			Working paper / IMD. The Evian Group@IMD working paper series	(DE-627)1735209643			https://www.imd.org/globalassets/publications/working-papers/docs/2014-2-brazil-and-china-complementarity-and-competition---14-10-14.pdf			
